,future
1236,4087.476318359375
1237,4029.326904296875
1238,4023.96826171875
1239,4035.826416015625
1240,4022.168212890625
1241,3963.070556640625
1242,3985.080810546875
1243,4087.066162109375
1244,4069.107177734375
1245,4098.37451171875
1246,4106.66015625
1247,4105.404296875
1248,4158.18310546875
1249,4879.8779296875
1250,4973.02197265625
1251,4922.798828125
1252,5036.68115234375
1253,5059.8173828125
1254,5198.89697265625
1255,5289.77099609375
1256,5204.95849609375
1257,5324.5517578125
1258,5064.48779296875
1259,5089.5390625
1260,5096.58642578125
1261,5167.72216796875
1262,5067.1083984375
1263,5235.5595703125
1264,5251.93798828125
1265,5298.3857421875
1266,5303.8125
1267,5337.88623046875
1268,5314.53125
1269,5399.365234375
1270,5572.36181640625
1271,5464.86669921875
1272,5210.515625
1273,5279.34814453125
1274,5268.291015625
1275,5285.13916015625
1276,5247.3525390625
1277,5350.7265625
1278,5402.697265625
1279,5505.28369140625
1280,5768.28955078125
1281,5831.16748046875
1282,5795.70849609375
1283,5746.80712890625
1284,5829.50146484375
1285,5982.45751953125
1286,6174.52880859375
1287,6378.84912109375
1288,7204.771484375
1289,6972.37158203125
1290,7814.9150390625
1291,7994.416015625
1292,8205.16796875
1293,7884.9091796875
1294,7343.8955078125
1295,7271.2080078125
1296,8197.689453125
1297,7978.30908203125
1298,7963.32763671875
1299,7680.06640625
1300,7881.8466796875
1301,7987.37158203125
1302,8052.5439453125
1303,8673.2158203125
1304,8805.7783203125
1305,8719.9619140625
1306,8659.4873046875
1307,8319.47265625
1308,8574.501953125
1309,8564.0166015625
1310,8742.9580078125
1311,8208.9951171875
1312,7707.77099609375
1313,7824.2314453125
1314,7822.0234375
1315,8043.951171875
1316,7954.1279296875
1317,7688.0771484375
1318,8000.32958984375
1319,7927.71435546875
1320,8145.857421875
1321,8230.923828125
1322,8693.8330078125
1323,8838.375
1324,8994.48828125
1325,9320.3525390625
1326,9081.7626953125
1327,9273.521484375
1328,9527.16015625
1329,10144.556640625
1330,10701.69140625
1331,10855.37109375
1332,11011.1025390625
1333,11790.9169921875
1334,13016.2314453125
1335,11182.806640625
1336,12407.33203125
1337,11959.37109375
1338,10817.1552734375
1339,10583.134765625
1340,10801.677734375
1341,11961.26953125
1342,11215.4375
1343,10978.4599609375
1344,11208.55078125
1345,11450.8466796875
1346,12285.9580078125
1347,12573.8125
1348,12156.5126953125
1349,11358.662109375
1350,11815.986328125
1351,11392.37890625
1352,10256.05859375
1353,10895.08984375
1354,9477.6416015625
1355,9693.802734375
1356,10666.482421875
1357,10530.732421875
1358,10767.1396484375
1359,10599.10546875
1360,10343.1064453125
1361,9900.767578125
1362,9811.92578125
1363,9911.841796875
1364,9870.3037109375
1365,9477.677734375
1366,9552.8603515625
1367,9519.1455078125
1368,9607.423828125
1369,10085.6279296875
1370,10399.6689453125
1371,10518.1748046875
1372,10821.7265625
1373,10970.1845703125
1374,11805.6533203125
1375,11478.1689453125
1376,11941.96875
1377,11966.4072265625
1378,11862.9365234375
1379,11354.0244140625
1380,11523.5791015625
1381,11382.6162109375
1382,10895.830078125
1383,10051.7041015625
1384,10311.5458984375
1385,10374.3388671875
1386,10231.744140625
1387,10345.810546875
1388,10916.0537109375
1389,10763.232421875
1390,10138.0498046875
1391,10131.0556640625
1392,10407.96484375
1393,10159.9609375
1394,10138.517578125
1395,10370.8203125
1396,10185.5
1397,9754.4228515625
